,textDisplay
1704,Hi I have already have had 2 of your Mr Beast bars and they are SO good. And I had your cookies and they are very good to!
1708,Coming soon:MR beast in Latin Americs
1710,"Menner dier Is dit waar dat jy  un chili Is en as dit waar Is sal jy na my huis toe Kom, net igeval ek dit vertaal het want ek weet nie hoe om engles te praat nie"
1715,Ñ espera contigo no función \_(° - °)_/
1717,soy de chile mrbeast  quiero participar en tu videos  ....
1718,Mr Beast estás en Chile
1721,RIP SPEED
1722,Por que ahora los videos del canal original estan en español?
1725,I been sub since 2012 fed 19th
1745,Do you have messages
1746,سيد مستر بيست ارجو ان ترد على على رسلتي فا انا احبك جدا كم تمنيت ان اكون في تحديتك لاني في اشد الحجا ل الربح ولكن لا باس فا انا سعيد لانك شخص جيد احبك جدن سيد مستر بيست
1751,Thenks mr.Beast👌👌
1762,Ven a conce de chile
1765,Mrbeast come back to fornite
1772,please bring Türkish subtitles
1773,I know finding your channel is a blessing!!!
1776,Oi br
1779,XD?
1782,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=3m06s"">3:06</a> Они же могли сесть на крыло..."
1783,I want some mony to coplete my studty   <br>انا من مصر واريد بعض المال لادرس وانا من عائلة متوسطة الحال
1787,Nooo speed!!!!!
1790,Subscribed boi
1791,Hello
1796,@Beast  How do I do that? What platform?
1802,Come to İzmir<br>👍👍👍👍
1804,Mr beast come here to mexico here wey need it more XD
1807,Там есть в настройках звуковой фон у вас автоматически на русский поставилось
1808,"Не знаю, я живу в испаноязычной стране и там есть испанский"
1810,Mr beast this and santiago plis
1812,"😍🇨🇱Please!! Come to Santiago, Chile, 🇨🇱😍"
1813,Hello MR BEAST YOU FAN ONE 👋
1815,ДА ПОЧЕМУ У МИСТЕРА БИСТА ВСЕ РОЛИКИ НАЗЫВАЮТСЯ ПО-РУССКИ И С РУССКОЙ ОЗВУЧКОЙ 😂
1816,They will never come out ☠️
1818,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=14m28s"">14:28</a> 🤣🤣🤣"
1821,I wanr to be you friend jimmy
1840,как так получилось что у офф канала биста видео на русском?!но это очень круто
1841,U r great 👍
1845,When will feastables come to Wales
1863,я бы хотел попасть  в видео
1866,their is drought
1875,"Русская озвучка по-любому была бы, как и озвучка на все остальные языки. Дело в том, что видео озвучено для разных стран (в основном тех, из которых чаще всего смотреть видео Баста) и очевидно, что русский язык добавили. Так что это не как не связано с чем либо иным, в особенности никак не касается войны или типо того"
